tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt2390026	movie	Her Safakta Ölürüm	Her Safakta Ölürüm	0	1973	\N	\N	Drama
tt2390032	movie	She Loves Me Not	She Loves Me Not	0	2013	\N	91	Comedy,Drama,Romance
tt2390098	movie	Dante's Arizona	Dante's Arizona	0	2005	\N	\N	Thriller
tt2390190	movie	Scandal	Scandal: Bí mat tham do	0	2012	\N	100	Drama,Mystery,Thriller
tt2390217	movie	2: Voodoo Academy	2: Voodoo Academy	0	2012	\N	75	Horror
tt2390223	movie	After the World Ended	After the World Ended	0	2015	\N	90	Drama,Sci-Fi
tt2390224	movie	Mirzi	Mirzi	0	1914	\N	\N	Drama
tt2390225	movie	American Commando Ninja	American Commando Ninja	0	1988	\N	86	Action
tt2390237	movie	Cuban Fury	Cuban Fury	0	2014	\N	98	Comedy,Romance,Sport
tt2390240	movie	Sir Ivan: I Am Peaceman	Sir Ivan: I Am Peaceman	0	2013	\N	53	Biography,Documentary
tt2390241	movie	Dancing with Rip	Dancing with Rip	0	\N	\N	\N	Crime
tt2390242	movie	Même un oiseau a besoin de son nid.	Même un oiseau a besoin de son nid.	0	2013	\N	70	Documentary,Drama
tt2390244	movie	Kvinder	Kvinder	0	1914	\N	33	Drama,Romance
tt2390245	movie	Digital Dream	Digital Dream	0	1983	\N	\N	Sci-Fi
tt2390249	movie	Disparaissez les ouvriers!	Disparaissez les ouvriers!	0	2012	\N	78	Documentary
tt2390250	movie	Water	Water	0	2012	\N	120	Drama
tt2390251	movie	El-Markeb	El-Markeb	0	2012	\N	113	Adventure
tt2390253	movie	A Muse	Eungyo	0	2012	\N	129	Drama,Romance
tt2390255	movie	Fahrt ans Ende der Nacht	Fahrt ans Ende der Nacht	0	2015	\N	96	Documentary
tt2390258	movie	Hans Faders Ære	Hans Faders Ære	0	1914	\N	\N	Drama
tt2390259	movie	Happy Hollowdays	Happy Hollowdays	0	\N	\N	\N	Drama,Family
tt2390261	movie	Home kwamrak kwamsuk kwam songjam	Home kwamrak kwamsuk kwam songjam	0	2012	\N	90	Drama
tt2390267	movie	Eiga Kaiketsu Zorori: Da da da daibouken!	Eiga Kaiketsu Zorori: Da da da daibouken!	0	2012	\N	\N	Animation
tt2390269	movie	Katouni-ye-sefid	Katouni-ye-sefid	0	2008	\N	85	Family
tt2390277	movie	Love Unconditional	Love Unconditional	0	2012	\N	94	Drama,Family
