nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm3080000	Peter Dakha	\N	\N	transportation_department	tt1091858,tt1068282,tt1029167
nm3080003	Hubert Koffer	\N	\N	art_department	tt0051188
nm3080004	John Kneeland	\N	\N	actor	tt1237838,tt1714749
nm3080005	Miller Ursolino	\N	\N	actor,director	tt2247684,tt1244616,tt5587434
nm3080006	Anya Ayoung-Chee	1981	\N		tt1265134,tt2076610,tt3371194,tt0437741
nm3080007	Kalina Dimitrova	\N	\N	music_department	tt0829440
nm3080008	Jason McAleer	\N	\N	actor	tt2828022,tt1265595
nm3080009	LisaMarie Sinatra	\N	\N	miscellaneous	tt1252289
nm3080010	Mike Goral	\N	\N	actor	tt3261504,tt1358296,tt2191819,tt2313114
nm3080011	Ayn Marie Dimaya	\N	\N	composer,actress,music_department	tt9526822,tt1732194,tt4628812,tt1616551
nm3080012	David Hasley	\N	\N	writer	tt1250560
nm3080013	Mariann Birkedal	\N	\N		tt1265134,tt4832630
nm3080014	Oskar Felix	\N	\N	music_department,soundtrack	tt0026306
nm3080015	Satu Karppinen	\N	\N	actress	tt2384526,tt1265603
nm3080016	Sarah Henderson	\N	\N	writer,producer	tt1265610
nm3080017	Paul Burns	\N	\N	visual_effects,camera_department	tt0907678
nm3080018	Ryuta Yamamoto	\N	\N	sound_department	tt1259487,tt1231294
nm3080020	Yonathan Alster	\N	\N	actor	tt1284990,tt0816672
nm3080021	Ian Gaya	\N	\N	actor	tt1314843,tt1244616
nm3080022	JJ Raschel	\N	\N	actor,composer	tt1512704,tt4343298,tt1692313,tt1234548
nm3080023	Chiu-lin Tsui	\N	\N	miscellaneous	tt0893593
nm3080024	Lito Madera	\N	\N	actor	tt0412920,tt0407915
nm3080025	Alfio Bernardo	\N	\N	art_department	tt1068282
nm3080029	David Berm	\N	\N		\N
nm3080030	Carol Morgan	\N	\N	miscellaneous	tt1236416
nm3080031	Crystal Rose Sanchez	\N	\N	music_department	tt1068282,tt0758740
nm3080032	Matthew Scheller	\N	\N	cinematographer,director,visual_effects	tt1864369,tt1377536,tt1864428,tt2041330
nm3080033	Tanya Page	\N	\N		\N
nm3080034	Bill Dwight	\N	\N	actor	tt1260563
nm3080035	Prophecy Sun	\N	\N	miscellaneous,animation_department,art_department	tt0907678,tt4950286
nm3080036	Cheryl Goodlin	\N	\N	actress,production_manager	tt2828022,tt1265595
nm3080037	Dmitriy Simonov	\N	\N		tt2847594,tt1238767
nm3080039	Troy Perrault	\N	\N	actor	tt0405157,tt0407680,tt1265300
nm3080040	Dov Berkovitz	\N	\N	actor	tt0816672
nm3080041	Diedre McCready	\N	\N		\N
nm3080042	Maximilian Hoever	\N	\N	cinematographer,camera_department	tt6402468,tt2767884,tt4076058,tt6047482
nm3080043	Nana Wolfing	\N	\N	actress	tt0103708
nm3080044	John Linton	\N	\N	camera_department	tt1227791
nm3080045	Daryll Manning	\N	\N	miscellaneous	tt0427309
nm3080046	Maan Leynes	\N	\N	assistant_director,editorial_department,location_management	tt0877658,tt0877709,tt1244616
nm3080047	Tom Overton	\N	\N	visual_effects	tt2011118,tt2011109
nm3080048	Nahum Holloway	\N	\N		\N
nm3080049	Elayne Herrick	\N	\N	producer,actress	tt1452628,tt1185431
nm3080050	Chr. Zingelmann	\N	\N	actor	tt0103420
nm3080051	Ntombenqaba Precious Petros	\N	\N	miscellaneous	tt1104123,tt0443649,tt0844708,tt1236471
nm3080052	Robert James Hickey	\N	\N	actor	tt7971476
nm3080053	Fernando López	\N	\N	costume_department	tt1139666
nm3080054	Diosdado Finez Jr.	\N	\N	actor	tt1244616
nm3080055	John Adams	\N	\N	actor,director,sound_department	tt2151783,tt5530838,tt14905650,tt2622854
nm3080056	Delynn Dazey	\N	\N	actress	tt1252612,tt1816689
nm3080057	Laura Dundovic	\N	\N	actress	tt1477773,tt8175004,tt4018492,tt3471502
nm3080058	Barbara Tatara	\N	\N		tt1265134
nm3080059	María Teresa Rodríguez	\N	\N		tt1265134
nm3080060	Patrick Skuel	\N	\N	writer	tt1121628
nm3080061	Hsue-tsu Wei	\N	\N	make_up_department	tt0893593
nm3080062	Kent Smith	\N	\N	actor	tt1265595
nm3080063	Salvador Llampallas	\N	\N	actor	tt1139666
nm3080064	Fil Garrison	\N	\N	camera_department,actor,producer	tt1396588,tt1265548,tt1382300,tt7325582
nm3080065	Soo MacLean	\N	\N	costume_department	tt0493949,tt0431021,tt1306980,tt1072754
nm3080066	Diane Dileth	\N	\N	miscellaneous	tt1068282
nm3080067	Eugen Eberl	\N	\N	special_effects,art_department	tt0052654
nm3080068	Carmelo Bottieri	\N	\N	art_department,actor,art_director	tt0430926,tt12517908,tt2014202,tt2257816
nm3080069	Peter Levitsky	\N	\N	art_department	tt1959490,tt1409024,tt2053463,tt1872181
nm3080070	Giorgos Orfanidis	\N	\N	miscellaneous	tt1109563
nm3080071	Dave Holland	\N	\N	actor,writer	tt1265618
nm3080073	Julia Kovaljova	\N	\N		tt1265134
nm3080074	Mollie King	1987	\N	actress,writer,soundtrack	tt1353146,tt0324692,tt11426066,tt11426496
nm3080075	Emi Kushida	\N	\N	miscellaneous	tt1029167,tt1068282,tt1038685
nm3080076	Stephanie Cappella	\N	\N	actress	tt1221932
nm3080077	Gary Sarai	\N	\N	transportation_department	tt2494032,tt1331335,tt7475590,tt8967870
nm3080078	Jimena Tenorio	\N	\N	costume_department,editorial_department,costume_designer	tt1911600,tt2379713,tt2280066,tt1567609
nm3080079	Michael Savage	\N	\N	producer	tt2203763
nm3080080	Mariesa Clarke	\N	\N		\N
nm3080081	Rebekah Russell	\N	\N	costume_department,costume_designer	tt3381008,tt2057392,tt3352390,tt0443649
nm3080082	Diogenis Kyriadis	\N	\N	art_department	tt1258197
nm3080083	Courtney Sojka	\N	\N	actor	tt1260563
nm3080084	Louisy Joseph	\N	\N	actress	tt11950864,tt0832440,tt7000202,tt7766334
nm3080085	Kalleen Sherer	\N	\N	actress	tt1265595,tt2828022
nm3080087	Max Engoian	\N	\N	editorial_department,miscellaneous	tt1599348,tt2436386,tt1480295,tt1098327
nm3080088	Walter Hippel	\N	\N	costume_department,make_up_department	tt0051188,tt0050862,tt0041168,tt0041436
nm3080089	Jimmie Rhee	\N	\N	camera_department,editor,visual_effects	tt1821393,tt2652318,tt2308664,tt4154352
nm3080090	Shinsuke Yasui	\N	\N	miscellaneous,camera_department,production_manager	tt2179654,tt1357000,tt1362505
nm3080091	David Kadumukasa	\N	\N	music_department	tt0815896,tt0829440
nm3080092	Vincent Rodriguez	\N	\N	stunts	tt0897330,tt0859215,tt1175005,tt1238281
nm3080093	Steve Glotzer	\N	\N	music_department,soundtrack,composer	tt1730294,tt0295289,tt5663298,tt0436331
nm3080094	Jae-Do Kwon	\N	\N	producer,camera_department	tt1780963,tt1846446,tt8168992,tt1507969
nm3080095	David Morgan	\N	\N	actor	tt1594917,tt1059773,tt1290472,tt1270114
nm3080096	Bernardo Treviño	\N	\N	costume_department	tt0405393,tt1139666,tt1567609,tt1078600
nm3080097	Andria Warren	\N	\N	miscellaneous	tt0427309
nm3080098	Shaun McKay	\N	\N	actor	tt0088512
nm3080099	Arturo López	\N	\N	actor	tt1176958,tt3118706,tt0122652,tt9005462
nm3080100	M. Brooke Corey	\N	\N	art_department	tt8784956,tt4682266,tt11286314,tt1172991
nm3080101	Marty Pouliot	\N	\N	special_effects,art_department	tt1265616
nm3080102	Jeanette Gardzelewski	\N	\N	producer,production_manager,actress	tt7318880,tt1265548,tt14141684,tt2346169
nm3080103	Isabel Mora	\N	\N	miscellaneous	tt1247684
nm3080104	Isabel Mora	\N	\N	actress	tt0293055
nm3080105	Doménica Saporitti	\N	\N		tt1265134,tt4573452
nm3080106	Len Antonation	\N	\N	miscellaneous	tt0414982,tt1596350,tt0431021,tt1241317
nm3080107	Giovanni Bommarito	\N	\N	camera_department,sound_department,actor	tt1133985,tt1524137,tt0884328,tt1502712
nm3080108	Amanda Dekantia	\N	\N	actress	tt14180538,tt12765104,tt1109563
nm3080109	Peter Ingrams	\N	\N	miscellaneous	tt1236416
nm3080111	Jorge Loredo	\N	\N	transportation_department	tt0427309,tt10059518,tt1564366
nm3080112	Stephanie Oforka	\N	\N		tt1265134
nm3080113	Janet R. Stampfl	\N	\N	producer,writer,miscellaneous	tt0043229,tt0048845,tt0044265,tt0057731
nm3080115	Bo-Yeong Choi	\N	\N	actress	tt0487948
nm3080116	Angelica Lightbourne	\N	\N		tt1265134
nm3080118	Andrey Golovanov	\N	\N		tt1255895
nm3080119	Lorenzo Richelmy	1990	\N	actor	tt6892400,tt8456680,tt5952238,tt2189461
nm3080120	Simran Kaur Mundi	1990	\N	actress	tt2215348,tt2112978,tt2150177,tt4302956
nm3080121	Wiley College Choir	\N	\N	music_department,soundtrack	tt0427309
nm3080122	Chris Wright Jr.	\N	\N	miscellaneous,assistant_director	tt2101341,tt5439796,tt1815862,tt1825683
nm3080123	Thomas Fiss	1986	\N	actor	tt1122770
nm3080124	Mechthild Reiner	\N	\N	actress	tt0103420
nm3080125	Peter Taborsky	\N	\N	art_department	tt0907678,tt1241317
nm3080126	Alberto Galetti	1986	\N	actor	tt1460817,tt1170383,tt2073043
nm3080127	Phil Messerer	\N	\N	editor,editorial_department,director	tt1367020,tt1305766,tt10851194,tt1887931
nm3080128	Aleksandr Manyakin	\N	\N		tt1255895
nm3080129	Tony Roberts	\N	\N	actor,writer,director	tt1409734,tt0157042,tt1265293
nm3080130	Thea	\N	\N	actress	tt1252612
nm3080131	Carolyn Davis	\N	\N	actress	tt1252612
nm3080132	Terrence Hardie	\N	\N		tt0284702,tt0287196
nm3080133	Ranjit Chohan	\N	\N	transportation_department	tt1068282,tt1029167
nm3080134	Jesper Stange	\N	\N		tt1233989
nm3080135	Yun-Lung Ou	\N	\N	actor,director,writer	tt10065944,tt10066002,tt10071562,tt10071616
nm3080136	Fallen Angelz	\N	\N	soundtrack	tt0423776
nm3080137	Jessica Hanchey	\N	\N	script_department	tt1265548
nm3080138	John Finley	\N	\N	art_director	tt1265621
nm3080139	Hamzah Saman	\N	\N	casting_director,actor,miscellaneous	tt4052886,tt1883367,tt5266668,tt0056758
nm3080140	Fu-yung Liu	\N	\N	camera_department	tt0893593
nm3080141	Galina Leinen	\N	\N	editor,visual_effects,animation_department	tt1508676,tt1265296,tt1874758,tt2197094
nm3080142	Stephen Hayes	\N	\N	music_department	tt0427309
nm3080143	Carolina Dementiev	\N	\N		tt1265134
nm3080144	Pailin Intarapan	\N	\N	actor	tt1247400
nm3080145	Helen Claire Lacey	\N	\N	music_department	tt0829440
nm3080146	Sheetal Petkar	\N	\N	visual_effects,editor,producer	tt1078912,tt3268778,tt1854564,tt1411704
nm3080147	Sanna Göransson	\N	\N	make_up_department,costume_department,art_department	tt2279786,tt2113681,tt3220192,tt2427502
nm3080148	Denis Leining	\N	\N	art_department,producer	tt0455944,tt6791096,tt0840361,tt0821640
nm3080149	Joseph Cinque	\N	\N		tt1265134,tt5064974,tt3714626
nm3080150	Vikkie Halford	\N	\N	actress	tt0070616
nm3080151	Melysia Soriano-Arcaya	\N	\N	actress	tt1237797
nm3080152	Sasha Chrosciewicz	\N	\N	camera_department,sound_department	tt1324999,tt2872518,tt1405412,tt1772240
nm3080153	Chi-Shan Li	\N	\N	director,assistant_director,writer	tt0064337,tt1625192,tt1625182,tt3837226
nm3080154	Job Leonoro	\N	\N	actor	tt1237784
nm3080155	Martin Boogieman Luna	\N	\N	music_department,soundtrack	tt0102370,tt0306749,tt1758725
nm3080159	Jayk Purdy	\N	\N	actor	tt0244361,tt4228366,tt5696774,tt1122770
nm3080160	Alain Peligat	\N	\N		tt0872057
nm3080161	Peter Breienholt Janum	\N	\N	miscellaneous	tt1087890,tt0853228,tt5287168,tt1854236
nm3080163	Johanna Niedermüller	\N	\N	actress	tt1820692,tt0412048,tt1265596,tt13036468
nm3080164	Jen Greiss	\N	\N	sound_department,actress,producer	tt1334226,tt1265599,tt5309898
nm3080165	Aleksey Kharkov	\N	\N		tt1255895
nm3080166	David Marziano	\N	\N	actor	tt0816672
nm3080167	Peter Love	\N	\N	actor	tt1265599,tt1433566,tt3544912,tt1334226
nm3080168	Kelly McCormack	\N	\N	actress,producer,writer	tt4647692,tt8226360,tt10813940,tt7260052
nm3080169	Michael Guzman	\N	\N		\N
nm3080170	Cole Gibbs	\N	\N	actor,camera_department	tt1260680
nm3080171	Helle Bundgaard Poulsen	\N	\N		tt1233989
nm3080172	Dan Haygood	\N	\N	miscellaneous	tt0427309
nm3080173	Víctor Rins	\N	\N	miscellaneous,director,editor	tt1922836,tt14084782,tt15494864,tt22643366
nm3080174	Mark Coffey	\N	\N	editor,editorial_department	tt0120769,tt0165895,tt1217305,tt0323050
nm3080175	Yessenia Zamudio	\N	\N	make_up_department	tt1139666,tt8332438
nm3080176	Amanda Ammann	\N	\N		tt1025537,tt1265134
nm3080177	Tsi-yi Li	\N	\N	production_manager	tt0893593
nm3080178	Ern Gerardo	\N	\N	actor,producer,writer	tt13180664,tt9130508,tt10804304,tt7390126
nm3080179	Soo-Yeon Jeong	\N	\N	assistant_director	tt0487948
nm3080181	Arturo Filastò	1990	\N	actor	tt1170383
nm3080182	James Welby	\N	\N	set_decorator	tt1247684
nm3080183	Ruben Moller	\N	\N	camera_department	tt0907678
nm3080185	Melvin B. Tolson Jr.	\N	\N		tt1273230
nm3080186	Reza Aznar	\N	\N	costume_department,costume_designer	tt13322324,tt1346973,tt10915616,tt3887700
nm3080187	Lauren Alexander	\N	\N		tt0492866
nm3080188	Robin Coope	\N	\N	miscellaneous,visual_effects,camera_department	tt0115836,tt1505095,tt0907678
nm3080190	Greg Eident	\N	\N	actor	tt1265594,tt2006693
nm3080191	Aaron Rux	\N	\N	camera_department	tt1262900
nm3080192	Chris DesRochers	\N	\N	camera_department,miscellaneous	tt4425200,tt1971352,tt5164214,tt4682786
nm3080193	Agnete Normann	\N	\N	actress	tt1221932
nm3080194	Adrian Smith	\N	\N	music_department	tt0829440,tt4196776
nm3080195	Marcin Artecki	1984	\N	casting_department,actor	tt16142166,tt6666648,tt9546624,tt4975480
nm3080196	W. Adam Habib	\N	\N	camera_department	tt1458676,tt1262900,tt1362459,tt1258212
nm3080197	Tina Caveno	\N	\N	art_department	tt1029167,tt1196141,tt1861279,tt1185266
nm3080198	Sofia Sprittey	\N	\N	writer	tt1121628
nm3080199	Jordan Chemama	\N	\N	actor	tt0497156,tt1124392
nm3080200	Salvador Perez Martinez	1931	\N	actor,director	tt6150492,tt22697078,tt3118706,tt5776736
nm3080201	Eleonora Masalab	\N	\N		tt1265134
nm3080202	Mike Ward	\N	\N	sound_department	tt1262900
nm3080203	Stephen Ellis	\N	\N	actor	tt1265548,tt3728386,tt1676169,tt1864354
nm3080204	Virgina R. Smith	\N	\N	writer	tt12004016,tt1265293
nm3080205	Salvador Ramírez Jiménez	\N	\N	actor	tt2042583,tt1139666
nm3080206	Yung-Chia Chang	\N	\N	editor	tt14708176,tt0185686,tt0893593
nm3080207	David Schramm	\N	\N	actor	tt1265595,tt2828022
nm3080209	Ace Baylon	\N	\N	actor	tt0335543,tt0378373,tt5088514,tt0377486
nm3080210	Matt Taylor	\N	\N	editorial_department,editor,production_manager	tt1328910,tt1265621,tt1743375,tt1684927
nm3080211	Matthew Cook	\N	\N	actor	tt0084987,tt0106031
nm3080212	Nerissa Radel	\N	\N	writer	tt0057731
nm3080214	Nick Agabe	\N	\N	miscellaneous,actor	tt1244505,tt1237797
nm3080215	Raffi Rapelian	\N	\N	actor	tt1734126,tt4048668,tt1336006,tt3790306
nm3080216	Luis Enrique Marín	1984	\N	actor,costume_department	tt13062158,tt19036468,tt2537348,tt1139666
nm3080217	Nissim Uriel	\N	\N	actor	tt1617036,tt14563386,tt1466070,tt1265600
nm3080218	Ariadna Kramarz	\N	\N		\N
nm3080219	Ethan Gutt	\N	\N	camera_department,art_department,art_director	tt1237838,tt2768300,tt1121786,tt1300159
nm3080221	Robert Jackson	\N	\N	actor	tt0191774
nm3080222	Paul Oberle	\N	\N	actor	tt1816082,tt1368443,tt0460734,tt1844786
nm3080223	Michel Fournier	\N	\N		tt1098268
nm3080224	Mike Briggs	\N	\N	music_department	tt0829440
nm3080225	Karen Boyle	\N	\N		tt1252438
nm3080226	Susan Roberts	\N	\N	producer	tt9683764,tt1265293,tt1409734
nm3080228	Paul de Silva	\N	\N	actor,miscellaneous	tt1621016,tt0108756
nm3080229	Sandra Manakova	\N	\N		tt1401559,tt1265134
nm3080230	Joselito Carascal	\N	\N	actor	tt1244616
nm3080231	Jonathan Kim	\N	\N	actor	tt8223626
nm3080232	Randy Roberts	\N	\N	producer,writer	tt1409734,tt1265293
nm3080233	Maria Sten	1989	\N	actress,producer,writer	tt4820370,tt8362852,tt11794642,tt9288030
nm3080234	J.P. Valdes	\N	\N	camera_department	tt0414982
nm3080235	Sharon Sandyke	\N	\N	miscellaneous	tt1068282,tt1430082,tt1216477,tt0338559
nm3080236	Alex Kaufmann	\N	\N	art_department,miscellaneous	tt0853228,tt1600202,tt1512893
nm3080237	Mark Pinelli	\N	\N	stunts,actor	tt7491982,tt6294822,tt4474344,tt1735907
nm3080238	Chie Nantani	\N	\N	art_director	tt1259487
nm3080239	Adrián Enríquez O.	\N	\N	location_management	tt1139666
nm3080240	Mary Ellen Hoag	\N	\N	make_up_department	tt0099346
nm3080241	Nick Stern	\N	\N	producer,actor,miscellaneous	tt6045798,tt8068900,tt4679136,tt3850544
nm3080242	Natália Anderle	1986	\N		tt0315674,tt1198393,tt1265134
nm3080243	Ting-wu Hsi	\N	\N	script_department	tt0893593
nm3080245	Katherine David Céspedes	\N	\N		tt1265134
nm3080246	Leo Solis	\N	\N	actor	tt1237784
nm3080247	Molly Dargaj	\N	\N	actress	tt1265595,tt2828022
nm3080248	Mbonisi Maxwell Maphongwana	\N	\N	camera_department,miscellaneous	tt1599348,tt0443649,tt1706593,tt2592614
nm3080250	Jinyoung Hur	\N	\N	sound_department,editor	tt1166203
nm3080251	Larry Pannell	\N	\N	music_department	tt0416365,tt0427309
nm3080252	Hiroyuki Yanagise	\N	\N	animation_department	tt0877057
nm3080253	Mark Warren	\N	\N	actor	tt0164260
nm3080254	Tansey Coetzee	\N	\N		tt1265134
nm3080255	Alicia Goodlin	\N	\N	actress	tt2162615,tt3651512,tt1265595,tt3181648
nm3080256	Dillon Jim Breithaupt	\N	\N	art_department	tt0427309,tt0477071,tt1203523,tt1395384
nm3080257	Aissa Sarmiento	\N	\N	miscellaneous	tt1244616
