tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt10250280	short	Bucking Tradition	Bucking Tradition	0	2019	\N	9	Documentary,Short
tt10250338	short	La espera	La espera	0	2019	\N	\N	Documentary,Short
tt10250354	short	Strand War Series, No. 10	Strand War Series, No. 10	0	1914	\N	\N	News,Short
tt10250362	short	Strand War Series, No. 11	Strand War Series, No. 11	0	1914	\N	\N	News,Short
tt10250366	short	Strand War Series, No. 12	Strand War Series, No. 12	0	1914	\N	\N	News,Short
tt10250368	short	Strand War Series, No. 13	Strand War Series, No. 13	0	1914	\N	\N	News,Short
tt10250404	short	Cross-Hatch Draw the Latch	Cross-Hatch Draw the Latch	0	1984	\N	2	Animation,Short
tt10250412	short	Best Friends	Best Friends	0	2018	\N	9	Short,Thriller
tt10250454	short	Bad Neighbor	Bad Neighbor	0	2019	\N	5	Horror,Short
tt10250464	short	Alice	Alice	0	2018	\N	7	Drama,Short
tt10250492	short	Roll On	Roll On	0	2018	\N	2	Short
tt10250536	short	Beyond Existence	Beyond Existence	0	2019	\N	8	Sci-Fi,Short
tt10250540	short	Retraced Steps	Retraced Steps	0	1980	\N	4	Animation,Short
tt10250542	short	Tres Ensayos (Three Rehearsals)	Tres Ensayos (Three Rehearsals)	0	2007	\N	25	Documentary,Short
tt10250582	short	Turntable	Turntable	0	2018	\N	14	Short,Thriller
tt10250598	short	Night Shift	Night Shift	0	2019	\N	9	Short,Thriller
tt10250616	short	The Way of Hard Friction	The Way of Hard Friction	0	2015	\N	\N	Crime,Short
tt10250630	short	NASD Projekt Fledermaus	NASD Projekt Fledermaus	0	2004	\N	37	Documentary,Short
tt10250638	short	Qualify	Qualify	0	2019	\N	6	Drama,Short
tt10250642	short	Did it Again	Did it Again	0	2019	\N	\N	Music,Short
tt10250652	short	Waiting for War	Waiting for War	0	2003	\N	30	Documentary,Short
tt10250684	short	An Ode to Solitude	An Ode to Solitude	0	2020	\N	\N	Drama,Short
tt10250698	short	Mukti Abhishap Se	Mukti Abhishap Se	0	2019	\N	\N	Short
tt10250702	short	Why not to f*ck with girls	Why not to f*ck with girls	0	2019	\N	12	Short,Thriller
tt10250716	short	Afterlife	Vida Póstuma	0	2019	\N	7	Fantasy,Mystery,Short
tt10250746	short	Down Side Up	Down Side Up	0	2013	\N	14	Comedy,Drama,Short
tt10250748	short	Toska	Toska	0	2021	\N	\N	Fantasy,Mystery,Short
tt10250760	short	Over vaders	Over vaders	0	2019	\N	25	Documentary,Short
tt10250764	short	Swan Song	Swan Song	0	2004	\N	8	Short
tt10250772	short	Stockholm Syndrome	Stockholm Syndrome	0	2018	\N	\N	Drama,Short
tt10250800	short	Travelogue	Travelogue	0	2010	\N	8	Short
tt10250816	short	The Bunker	The Bunker	0	\N	\N	\N	Short
tt10250846	short	Ecosystem	Ecosystem	0	2019	\N	1	Animation,Comedy,Short
tt10250852	short	Shakespearean Manipulation	Shakespearean Manipulation	0	2019	\N	\N	Comedy,Short
tt10250924	short	Using	Using	0	2019	\N	\N	Drama,Short
tt10250936	short	Chetona	Chetona	0	2019	\N	\N	Short,Thriller
tt10250976	short	Ouroboros	Ouroboros	0	2019	\N	28	Horror,Mystery,Short
tt10250982	short	L'uomo e il suo mondo	L'uomo e il suo mondo	0	1967	\N	1	Animation,Comedy,Short
tt10250994	short	The Pickup (Truck)	The Pickup (Truck)	0	2019	\N	\N	Comedy,Short
tt10250996	short	Hate for Sale	Hate for Sale	0	2017	\N	3	Animation,Short
tt10251026	short	Beatbox - Alternate Take	Beatbox - Alternate Take	0	2007	\N	8	Short
tt10251106	short	El Universo: Ayer, hoy y siempre	El Universo: Ayer, hoy y siempre	0	1999	\N	15	Comedy,Short
tt10251136	short	Les soirs, les matins	Les soirs, les matins	0	2018	\N	9	Short
tt10251178	short	Inspektion	Inspektion	0	2018	\N	8	Short
tt10251192	short	Sprechende Löcher	Sprechende Löcher	0	2018	\N	9	Short
tt10251220	short	Ella	Ella	0	2018	\N	9	Short
tt10251260	short	The Trim Job	The Trim Job	0	2017	\N	5	Comedy,Short
tt10251266	short	Faleminderit	Faleminderit	0	2020	\N	13	History,Short
tt10251282	short	Pier Pressure	Pier Pressure	0	\N	\N	5	Action,Animation,Comedy
tt10251332	short	Grey	Grey	0	2017	\N	2	Short
tt10251398	short	The Cubicle	The Cubicle	0	2017	\N	4	Comedy,Short
tt10251556	short	Maza Bihari Mare	Maza Bihari Mare	0	2017	\N	\N	Romance,Short
tt10251750	short	Tra cielo e mare, Franco Scaglia tra pensieri e parole	Tra cielo e mare, Franco Scaglia tra pensieri e parole	0	2017	\N	\N	Short
tt10251796	short	208 Moons	208 Moons	0	2018	\N	8	Fantasy,Short
tt10251822	short	Virtual Memory	Virtual Memory	0	2019	\N	23	Documentary,Short
tt10252452	short	Hope within (The Hope Trilogy)	Hope within (The Hope Trilogy)	0	2018	\N	\N	Short
tt10252582	short	Hounds	Hounds	0	2019	\N	\N	Drama,Romance,Short
tt10252588	short	uBizo	uBizo	0	2018	\N	23	Comedy,Drama,Horror
tt10252756	short	Maiko	Maiko	0	2013	\N	\N	Drama,Short
tt10252878	short	Retirement Hobbies for Octogenarians	Retirement Hobbies for Octogenarians	0	1987	\N	\N	Short
tt10252922	short	Stateside: The Epic Bestseller Which Shocked America.	Stateside: The Epic Bestseller Which Shocked America.	0	1987	\N	\N	Short
tt10253014	short	Dereliction	Desamparo	0	2018	\N	19	Drama,Mystery,Short
tt10253054	short	Il Solitario	Il Solitario	0	2019	\N	33	Mystery,Short
tt10253306	short	Neetu	Neetu	0	2018	\N	6	Short
tt10253314	short	The Other Border	The Other Border	0	2019	\N	\N	Documentary,Short
tt10253348	short	See No Evil	See No Evil	0	\N	\N	\N	Drama,Horror,Short
tt10253454	short	Riscados pela Memória	Riscados pela Memória	0	2018	\N	21	Drama,Short
tt10253548	short	Border Disorder	Border Disorder	0	2015	\N	5	Short
tt10253808	short	E.R. Compliance	E.R. Compliance	0	\N	\N	\N	Music,Romance,Short
tt10253820	short	Two Cops, A Guy and A Phone	Two Cops, A Guy and A Phone	0	2012	\N	\N	Comedy,Short
tt10253836	short	If I Had a Hammer	If I Had a Hammer	0	2006	\N	6	Animation,Short
tt10253918	short	Mavi	Mavi	0	2017	\N	\N	Short
tt10254090	short	Baitullah	Baitullah	0	2019	\N	7	Drama,Short
tt10254106	short	Achromatopsian Womb	Achromatopsian Womb	0	2019	\N	3	Short
tt10254116	short	Polly Is Angry	Polly Is Angry	0	2019	\N	\N	Short
tt10254122	short	We Are Coming	We Are Coming	0	2019	\N	23	Adventure,Short
tt10254136	short	Det Brente Skipet	Det Brente Skipet	0	2017	\N	\N	History,Short
tt10254152	short	Project Chick	Project Chick	0	2019	\N	\N	Documentary,Short
tt10254154	short	Look Behind	Look Behind	0	2018	\N	4	Short,Thriller
tt10254166	short	The Sentinel	The Sentinel	0	2018	\N	3	Action,Short
