nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm5650000	Charlize Skinner	\N	\N	actress	tt1343092
nm5650001	Dan Taki	\N	\N	actor	tt2881410
nm5650002	Melissa Lewis	\N	\N	actress	tt2878928
nm5650003	Park Hye-Young	\N	\N	animation_department	tt2317744
nm5650004	Harry Sean Plumb	\N	\N	editor,cinematographer,camera_department	tt4893492,tt3325538,tt2878738,tt3325560
nm5650005	Anthony Ragusa	\N	\N	visual_effects,animation_department	tt3411444,tt0848537,tt3416828,tt5814534
nm5650006	Rafa Cadenas	\N	\N	costume_department	tt2873654
nm5650007	Devendran Arunasalam	\N	\N	actor	tt2879080
nm5650008	Julia Knight	\N	\N	editor	tt8454914,tt2877902,tt8668982
nm5650009	Aleksandr Bezruchenko	\N	\N	actor	tt2876846
nm5650010	Alex Yeager	\N	\N	director,writer,producer	tt2875986,tt7530404,tt4339878,tt2229165
nm5650011	Shiela-Rae Wickham	\N	\N	miscellaneous	tt2880270
nm5650012	Valter Casini	\N	\N	producer	tt2881270
nm5650013	Karlo Baresic	\N	\N	actor	tt2873536
nm5650014	Bernadette Maguire	\N	\N	producer	tt1454593
nm5650015	Kalpana Kish	\N	\N	actress,miscellaneous	tt5206796,tt2596368
nm5650016	Tammy Ponulac	\N	\N	actress	tt2232404
nm5650017	Sandra Zanzie	\N	\N	producer,actress,miscellaneous	tt3865880,tt1954333,tt2958986,tt5211608
nm5650018	Lope García	\N	\N	producer	tt2845106
nm5650020	Anthony Cruz	\N	\N	actor	tt2874612
nm5650021	Jarle Kvåle	\N	\N	actor	tt10636580
nm5650022	Nancy Denis	\N	\N	actress,miscellaneous	tt1343092,tt1131724,tt8258510,tt3859076
nm5650023	Graeme Adamson	\N	\N		\N
nm5650024	Mondy Carter	\N	\N	actor	tt0429434,tt6302230,tt6408774,tt2880354
nm5650025	Dave Poulin	\N	\N		tt2876560,tt5431100
nm5650026	Nenad Jerinkic	\N	\N	visual_effects,art_department	tt2881514
nm5650027	Chase Pearson	\N	\N	actor	tt2226342
nm5650028	Gabriel Valtri	\N	\N	music_department	tt0119336
nm5650030	Jeganathan	\N	\N	actor,animation_department	tt4808696,tt2879110,tt12106040
nm5650031	Daisuke Shishido	\N	\N	director,cinematographer	tt3057542,tt2876724
nm5650033	Ondrej Bambas	\N	\N		tt1812448
nm5650034	J.T. Phillips	\N	\N	director,actor,writer	tt2877004
nm5650035	Effie Nkrumah	\N	\N	actress	tt10088868,tt1343092,tt12104902
nm5650036	Pepe Mansilla	\N	\N	art_department	tt2877326
nm5650037	Michael Becker	\N	\N		tt2258266
nm5650038	Lief Stevenson	\N	\N	sound_department	tt2877106
nm5650039	Elenoa Rokobaro	\N	\N	actress	tt1343092,tt0448300,tt10195772
nm5650040	Augustine Leo	\N	\N	actress	tt2879080
nm5650041	Yûki Hori	\N	\N	actor	tt2530396,tt1947928
nm5650042	Rossella Clemente	\N	\N	actress	tt2876388
nm5650043	Elly Cornwell	\N	\N	make_up_department,special_effects	tt2875968
nm5650044	Yôsuke Isozaki	\N	\N	actor	tt2878400
nm5650045	James Filbin	\N	\N		\N
nm5650046	Frances Lurcock	\N	\N	actress	tt2875056
nm5650047	Sung-ho Jean	\N	\N	art_department	tt7446086,tt2299842,tt1982597
nm5650049	Hayley Palmaer	1991	\N	actress,producer,writer	tt7049096,tt6079304,tt5017782,tt6294544
nm5650050	Michael Klag	\N	\N		tt0400998
nm5650051	Giuseppe Pino Giergia	\N	\N	actor	tt2873536
nm5650052	Natália Inoue	\N	\N		tt0466518
nm5650053	Zhaohui Zhang	\N	\N	cinematographer	tt2880640
nm5650054	Tim Vitkuske	\N	\N	producer	tt2878238
nm5650055	Chaing-Ming Lai	\N	\N	writer	tt22436698,tt9053072,tt5356490,tt2879102
nm5650056	Alex Erde	\N	\N	cinematographer	tt5117114
nm5650057	Bruce Lichenstein	\N	\N	actor	tt2232404
nm5650058	Jacobo Rosón	\N	\N	assistant_director,actor,producer	tt10698534,tt14846930,tt3695954,tt9731242
nm5650059	Patrick Le Hyaric	\N	\N		tt0320913
nm5650060	Alberto Razzi	\N	\N	production_manager	tt2874372
nm5650061	Joe Zieja	1985	\N	actor,sound_department,miscellaneous	tt3606756,tt7896952,tt6776712,tt5652038
nm5650062	Kevin Caodan	\N	\N	cinematographer	tt2729086
nm5650063	Shadrack Motloung	\N	\N		tt1454593
nm5650064	Susanne Karlsson	\N	\N	miscellaneous	tt2881168
nm5650065	Eric Austin Matthews	\N	\N	actor,camera_department,producer	tt3144778,tt2881548,tt5122722
nm5650066	Margo Hass Klein	\N	\N		tt0765425
nm5650067	Adrian Gonzales	\N	\N	actor	tt1300854
nm5650068	Susanne Schwenk	\N	\N	editor	tt0417793,tt4229014,tt0143075,tt11698474
nm5650069	Curtiss Cook Jr.	\N	\N	actor	tt7078658,tt1831804,tt8421350,tt6057032
nm5650070	Evenwave	\N	\N	composer	tt2878576
nm5650071	Doma	\N	\N	actor	tt2873484
nm5650072	Megan Kingsley Hazard	\N	\N	actress	tt2873726
nm5650074	Karel De Clercq	\N	\N	actor	tt0149534,tt6278252
nm5650075	Steve Demeroutis	\N	\N		tt0765425
nm5650076	Willem Coetzee	\N	\N	editor	tt1454593
nm5650077	Yuk Nassty	\N	\N	music_department	tt2296157
nm5650078	Subramanian	\N	\N	actor	tt1233329,tt4189076
nm5650080	Chema Zamora	\N	\N	actor,miscellaneous	tt0336720,tt2877656,tt4161134,tt3197064
nm5650081	Anthony Corrado	\N	\N	producer	tt3195020,tt2441670
nm5650082	Rowan Watt-Pringle	\N	\N	camera_department	tt1454593
nm5650083	Babak Pourtaghavi	\N	\N	producer	tt2879504
nm5650084	Ariane Baril	\N	\N	assistant_director	tt2879780,tt2879786
nm5650085	Bill Sizemore	\N	\N		tt0400998
nm5650086	Nicole Rensleigh	\N	\N		tt1454593
nm5650087	George Irizarry	\N	\N	editor	tt3718372,tt2991848,tt2877870
nm5650088	Charlie Bickle	\N	\N	sound_department	tt2847746
nm5650089	Robin Rigault	\N	\N	camera_department,producer,sound_department	tt6873926,tt3742826,tt6093350,tt3700038
nm5650090	Larry Hildes	\N	\N		tt0400998
nm5650091	Guy Lemaitre	\N	\N		\N
nm5650092	Guy Lemaitre	\N	\N	actor	tt1413495
nm5650094	Angie Rice	\N	\N		tt0765425
nm5650095	Wes Mahon	\N	\N	camera_department,editor	tt21277636,tt2880184,tt3993380,tt7842064
nm5650097	Marie Nedvedová	\N	\N		tt2409866
nm5650098	Kevin Smith	\N	\N		tt2878750
nm5650099	Gavin Peplinskie	\N	\N	producer	tt2878238
nm5650100	Carlota Lago	\N	\N	costume_department	tt2877326
nm5650102	Terry Terashima	\N	\N	miscellaneous	tt0285335
nm5650103	Amber Bharoocha	\N	\N	miscellaneous	tt2839266
nm5650104	Tengku Noor Fatimah	\N	\N	actor	tt2879110
nm5650105	Narelle Collier	\N	\N		\N
nm5650106	Isaiah Atienza	\N	\N	editor,director,cinematographer	tt2879530,tt3104498
nm5650107	Sapphire Hart	\N	\N	soundtrack	tt0324924
nm5650108	Gautam Chakraborty	\N	\N	miscellaneous	tt1590951
nm5650109	Chintis Lundgren	\N	\N	director,animation_department,writer	tt4602366,tt6724880,tt10325740,tt4590334
nm5650110	Damon Whittemore	\N	\N	sound_department	tt2875000,tt7817524,tt19267916
nm5650111	Sig Pikul	\N	\N	visual_effects,miscellaneous	tt2713440,tt13937862
nm5650112	Krishna Mukherjee	\N	\N	actor	tt0158830
nm5650113	Philip Scheltens	\N	\N		tt0945531,tt1114745,tt11565770,tt3175372
nm5650114	Lien Tang	\N	\N	actress	tt2877658
nm5650115	James Gillum	\N	\N	actor,sound_department	tt10698496,tt2634584,tt8653242
nm5650116	Terence Pillay	\N	\N	producer	tt1454593
nm5650117	Indhiran Regasamy	\N	\N	actor	tt1233329
nm5650118	Danny Littwin	\N	\N	sound_department	tt0901019,tt2890404
nm5650119	Harri Hyvönen	\N	\N	sound_department	tt0471444,tt0292847,tt0252152
nm5650120	Mary Hall Ross	\N	\N		\N
nm5650121	Jung Yoon Choi	\N	\N	art_department,producer	tt10186928,tt11323604,tt2782710,tt11323484
nm5650122	Sarah Stapleton	\N	\N	art_director,art_department,production_designer	tt8295472,tt13403046,tt15567174,tt14502728
nm5650123	Shade LV	\N	\N	producer	tt2875816
nm5650124	Brian L. Radliffe	\N	\N		\N
nm5650125	Gülümser Göker	\N	\N	actress	tt5602432,tt0200522
nm5650126	Laura Anne Heller	\N	\N	actress	tt2879386
nm5650127	Gojart Kqiku	\N	\N	actor	tt2880042,tt6665464,tt14670606
nm5650128	Kaylie Yee	\N	\N	actress	tt1343092
nm5650129	Jacaranda	\N	\N	music_department,composer	tt2844092,tt2906160
nm5650131	Kieran van Bunnik	\N	\N	actor	tt1343092
nm5650132	Andre Scholz	\N	\N	actor	tt2873906
nm5650133	Ofon Samson	\N	\N	sound_department	tt2847746
nm5650134	Angela Vitkuske	\N	\N	producer	tt2878238
nm5650135	Seth Beverly	\N	\N	camera_department	tt2875000
nm5650136	Eric Werdin	\N	\N		tt2879342
nm5650137	Liam Walsh	\N	\N	actor	tt2874448
nm5650138	David Venable	\N	\N		tt3307546,tt2289244,tt9647434,tt2104004
nm5650139	Bernard Som	\N	\N	animation_department,director	tt9719864,tt6296094,tt2879044
nm5650140	Attila Gönczy	\N	\N	actor	tt2878576,tt7587722
nm5650141	Eric Kovacs	\N	\N	camera_department,cinematographer	tt5367680,tt2878238,tt2918748,tt5788392
nm5650142	Sanjay Singh	\N	\N	cinematographer,editor	tt2877976
nm5650143	Steven Fung	\N	\N	writer,producer	tt2876102,tt5445444
nm5650144	Linda Tsoi	\N	\N	actress	tt2844092
