tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt20080982	tvEpisode	Episode #3.52	Episode #3.52	0	2010	\N	\N	Game-Show,Reality-TV
tt20081654	short	The Weight	The Weight	0	2022	\N	12	Drama,Short
tt20081914	tvEpisode	Vad heter Norges Tegnell?	Vad heter Norges Tegnell?	0	2022	\N	\N	Game-Show
tt20081926	tvEpisode	Grupp 2 ska avgöras	Grupp 2 ska avgöras	0	2022	\N	\N	Game-Show
tt20081964	movie	Bearblood	Bearblood	0	\N	\N	\N	Fantasy
tt20082156	tvEpisode	Les examens médicaux	Les examens médicaux	0	2019	\N	\N	Documentary
tt20082266	short	All Alone	All Alone	0	2021	\N	12	Drama,Short
tt20082480	tvEpisode	Episode #3.57	Episode #3.57	0	2010	\N	\N	Game-Show,Reality-TV
tt20082510	tvSeries	Safer at Home?	Safer at Home?	0	2021	2021	\N	Comedy,Drama
tt20083074	movie	Seven Pillars Film Anthology	Seven Pillars Film Anthology	0	2021	\N	85	Music
tt20083138	short	A Cookie on a Plate	A Cookie on a Plate	0	2022	\N	2	Animation,Short
tt20083482	tvEpisode	Doing New Things	Doing New Things	1	2015	\N	10	Adult
tt20083490	movie	Isle of Ironghard	Isle of Ironghard	0	\N	\N	\N	Fantasy
tt20083512	tvEpisode	Episode #3.59	Episode #3.59	0	2010	\N	\N	Game-Show,Reality-TV
tt20083522	tvEpisode	Haftanin Finali	Haftanin Finali	0	2022	\N	\N	Animation,Game-Show,Reality-TV
tt20083524	tvEpisode	Les antibiotiques	Les antibiotiques	0	2019	\N	\N	Documentary
tt20083630	tvEpisode	Episode #3.51	Episode #3.51	0	2010	\N	\N	Game-Show,Reality-TV
tt20083872	tvEpisode	Episode #3.60	Episode #3.60	0	2010	\N	\N	Game-Show,Reality-TV
tt20084038	tvEpisode	Episode #3.53	Episode #3.53	0	2010	\N	\N	Game-Show,Reality-TV
tt20084472	tvEpisode	Les allergies et les intolérances alimentaires	Les allergies et les intolérances alimentaires	0	2019	\N	\N	Documentary
tt20084598	tvEpisode	Episode #3.54	Episode #3.54	0	2010	\N	\N	Game-Show,Reality-TV
tt20084826	tvEpisode	Ger allt för seger	Ger allt för seger	0	2022	\N	\N	Game-Show
tt20084930	tvEpisode	Episode #3.55	Episode #3.55	0	2010	\N	\N	Game-Show,Reality-TV
tt20084958	tvEpisode	Episode #1.1	Episode #1.1	0	\N	\N	\N	Comedy,Romance
tt20085066	tvEpisode	Låtsas kunna latin	Låtsas kunna latin	0	2022	\N	\N	Game-Show
tt20085436	short	Fat Chick Zombie Flick	Fat Chick Zombie Flick	0	\N	\N	\N	Comedy,Short
tt20085634	tvEpisode	Episode #3.56	Episode #3.56	0	2010	\N	\N	Game-Show,Reality-TV
tt20085672	short	Nude Model	Nude Model	0	2014	\N	4	Short
tt20086032	tvEpisode	Episode #2.22	Episode #2.22	0	2019	\N	\N	Action,Animation,Fantasy
tt20086484	tvEpisode	Episode #3.58	Episode #3.58	0	2010	\N	\N	Game-Show,Reality-TV
tt20086510	tvEpisode	Episode #2.1	Episode #2.1	0	2022	\N	\N	Animation,Game-Show,Reality-TV
tt20086924	tvEpisode	Episode #2.3	Episode #2.3	0	2022	\N	\N	Animation,Game-Show,Reality-TV
tt20086976	tvEpisode	Episode #2.21	Episode #2.21	0	2019	\N	\N	Action,Animation,Fantasy
tt20087170	tvEpisode	Episode #2.24	Episode #2.24	0	2019	\N	\N	Action,Animation,Fantasy
tt20087468	short	I am Poly	I am Poly	0	\N	\N	\N	Drama,Short
tt20087606	tvEpisode	Episode #2.26	Episode #2.26	0	2019	\N	\N	Action,Animation,Fantasy
tt20087648	tvEpisode	Episode #3.61	Episode #3.61	0	2010	\N	\N	Game-Show,Reality-TV
tt20087654	tvEpisode	Episode #3.62	Episode #3.62	0	2010	\N	\N	Game-Show,Reality-TV
tt20087968	tvEpisode	Shelter From The Storm	Shelter From The Storm	0	2022	\N	\N	Documentary
tt20088058	movie	Salvatus	Salvatus	0	\N	\N	\N	Drama
tt20088148	tvEpisode	Episode #3.63	Episode #3.63	0	2010	\N	\N	Game-Show,Reality-TV
tt20088522	tvEpisode	Episode #2.32	Episode #2.32	0	2019	\N	\N	Action,Animation,Fantasy
tt20088770	tvEpisode	Les émotions et la santé	Les émotions et la santé	0	2019	\N	\N	Documentary
tt20088824	tvEpisode	Episode #2.33	Episode #2.33	0	2019	\N	\N	Action,Animation,Fantasy
tt20088962	tvEpisode	Episode #3.64	Episode #3.64	0	2010	\N	\N	Game-Show,Reality-TV
tt20089040	tvEpisode	Episode #3.67	Episode #3.67	0	2010	\N	\N	Game-Show,Reality-TV
tt20089184	tvEpisode	Siri	Siri	0	2018	\N	\N	Comedy
tt20089254	tvEpisode	Episode #3.65	Episode #3.65	0	2010	\N	\N	Game-Show,Reality-TV
tt20089438	tvEpisode	Lily's Turn	Lily's Turn	0	2022	\N	\N	Drama,Fantasy,Romance
tt20089572	tvEpisode	Episode #3.66	Episode #3.66	0	2010	\N	\N	Game-Show,Reality-TV
tt20089620	tvEpisode	Episode #3.68	Episode #3.68	0	2010	\N	\N	Game-Show,Reality-TV
tt20089766	tvEpisode	Episode #2.23	Episode #2.23	0	2019	\N	\N	Action,Animation,Fantasy
tt20089794	tvEpisode	Episode #2.34	Episode #2.34	0	2019	\N	\N	Action,Animation,Fantasy
tt20089892	tvEpisode	Nice Warm Load	Nice Warm Load	1	2014	\N	10	Adult
tt20089956	tvEpisode	Episode #3.69	Episode #3.69	0	2010	\N	\N	Game-Show,Reality-TV
