tconst	directors	writers
tt19650192	nm0412849	\N
tt19650240	\N	\N
tt19650350	nm13571813	\N
tt19650400	nm5982044	nm10307428
tt19650528	nm4935944	nm4935944
tt19651246	\N	\N
tt19651440	nm13539743	nm13539743
tt19651636	nm11762984	nm11763034,nm11762984
tt19651700	\N	\N
tt19652140	nm9375960	nm9183118,nm7786587,nm10268734,nm5723908,nm4735990
tt19652586	nm0418450	nm0283936,nm0327729,nm0865918,nm0619923,nm0505448,nm0803348,nm0074844,nm1962020,nm1250668,nm3799405,nm4384032
tt19652628	nm0277933	nm0283936,nm0327729,nm0865918,nm0619923,nm0505448,nm0803348,nm0074844,nm0277933,nm4384032,nm12102049,nm1142934
tt19652786	nm0221611	nm0283936,nm0327729,nm0865918,nm0619923,nm0505448,nm0803348,nm0074844,nm0449289,nm11364451,nm4384032,nm9968103
tt19652910	nm0804592	nm1018717,nm0804592
tt19653132	nm0073384	nm0283936,nm0327729,nm0865918,nm0619923,nm0505448,nm0803348,nm0074844,nm1142998,nm1250668,nm4384032
tt19653172	nm6183531	nm6183531
tt19653180	nm7920254	nm7920254,nm1011363
tt19653568	\N	\N
tt19653722	\N	\N
tt19653802	nm0619923,nm0865918	nm0283936,nm0327729,nm0865918,nm0619923,nm0505448,nm0803348,nm0074844,nm0505579,nm4384032,nm5110858
tt19654028	nm9424800,nm1723252	nm2363561,nm10145991,nm2474105,nm2279592,nm1723252,nm9424800
tt19654096	\N	\N
tt19654120	\N	\N
tt19654196	nm2766887	nm6070757,nm2766887,nm2766552
tt19654414	\N	\N
tt19654970	\N	\N
tt19655288	\N	\N
tt19655540	\N	\N
tt19655864	\N	\N
tt19655866	nm13557056	nm13557056
tt19655872	\N	\N
tt19655876	\N	\N
tt19655878	\N	\N
tt19655880	\N	\N
tt19655882	\N	\N
tt19655884	\N	\N
tt19655886	\N	\N
tt19655890	\N	\N
tt19655892	nm3318309	\N
tt19655894	\N	\N
tt19655896	\N	\N
tt19655898	nm13573863	\N
tt19655900	\N	\N
tt19655902	\N	\N
tt19655904	nm0689182	nm2603306
tt19655906	\N	\N
tt19655908	\N	nm0227992
tt19655910	\N	\N
tt19655912	\N	\N
tt19655914	\N	\N
tt19655916	\N	nm11161617,nm11161618
tt19655918	nm13557056	nm13557056
tt19655920	\N	\N
tt19655922	\N	nm0227992
tt19655924	\N	\N
tt19655926	\N	\N
tt19655928	\N	\N
tt19655930	\N	\N
tt19655932	\N	\N
tt19655936	\N	\N
tt19655938	\N	\N
tt19655940	\N	\N
tt19655942	\N	\N
tt19655944	\N	\N
tt19655946	\N	\N
tt19655948	nm1247940	nm1247940,nm3356715
tt19655950	nm0689182	nm6029334
tt19655952	\N	\N
tt19655954	nm0530789	nm0530789
tt19655956	\N	\N
tt19655958	\N	\N
tt19655962	\N	\N
tt19655964	nm5301860	\N
tt19655968	\N	\N
tt19655970	\N	\N
tt19655972	\N	\N
tt19655974	\N	\N
tt19655976	\N	\N
tt19655978	\N	\N
tt19655980	nm1322753	nm1322753,nm0000485,nm0902376
tt19655982	\N	\N
tt19655984	\N	\N
tt19655986	\N	\N
tt19655988	\N	nm0908206
tt19655990	\N	\N
tt19655992	\N	\N
tt19656002	\N	\N
tt19656004	nm0781182	nm0699594,nm0781182
tt19656006	nm0781182	nm2175588,nm0781182
tt19656008	\N	\N
tt19656010	nm0781182	nm2175588,nm0781182
tt19656012	nm0781182	nm0699594,nm0781182
tt19656016	nm12820231	nm12820231,nm12820234
tt19656018	nm1650266	nm7922711
tt19656020	nm2238286,nm1470999	nm0427013
tt19656022	\N	nm0335072,nm2663899,nm1007597
tt19656024	nm13573952	nm13573954,nm13573952,nm13573957
tt19656026	\N	\N
tt19656028	nm13573959	nm13573959
tt19656030	\N	\N
tt19656032	nm2786199	nm2775953
tt19656034	nm2100778	\N
tt19656036	\N	\N
tt19656038	nm5783008	nm8273642,nm5105871,nm2615168
tt19656042	\N	\N
tt19656044	\N	\N
tt19656046	nm7900820	nm7900820
tt19656048	nm4376713	nm4376713
tt19656050	\N	\N
tt19656052	nm2811859	\N
tt19656054	\N	\N
tt19656192	nm2811859	\N
tt19656526	nm11144613	nm13574072,nm13574073
tt19656942	nm4376713	nm4376713
tt19657176	nm13574075	nm13574076
tt19657398	\N	\N
tt19657458	nm6735541	nm8280108
tt19659264	\N	\N
tt19659322	nm1301484,nm0783591	nm1717605,nm1371751
tt19659664	nm11144613	nm11144613,nm6189745
tt19659678	nm9279157	\N
tt19659736	nm9279157	\N
