tconst	ordering	nconst	category	job	characters
tt9310000	1	nm8337341	self	\N	["Self - Host"]
tt9310002	1	nm2118003	actor	\N	["Ocean Man","Voice Over Guy","Jacques Cousteau"]
tt9310002	2	nm2966866	self	\N	["Self - Host"]
tt9310002	3	nm9203362	self	\N	["Self - Scientist"]
tt9310002	4	nm9617135	director	\N	\N
tt9310002	5	nm4433371	editor	\N	\N
tt9310002	6	nm7909701	editor	\N	\N
tt9310004	1	nm9585321	self	\N	["Self - Host"]
tt9310006	1	nm10271069	actor	\N	\N
tt9310006	2	nm9180981	actress	\N	\N
tt9310006	3	nm7481798	director	\N	\N
tt9310010	1	nm2118003	actor	\N	["Date Guy","Voice Over Guy","Shane The Sheep"]
tt9310010	2	nm2966866	self	\N	["Self - Host"]
tt9310010	3	nm9203362	self	\N	["Self - Scientist"]
tt9310010	4	nm9617135	director	\N	\N
tt9310010	5	nm4433371	editor	\N	\N
tt9310010	6	nm7909701	editor	\N	\N
tt9310014	1	nm1532234	self	\N	["Self - Host"]
tt9310014	2	nm0000156	self	\N	["Self"]
tt9310014	3	nm1186879	self	\N	["Self"]
tt9310016	1	nm0124570	self	\N	["Self"]
tt9310016	2	nm1894315	self	\N	["Self - Host"]
tt9310018	10	nm8292341	actress	\N	["Dorothy Leopold"]
tt9310018	1	nm11512170	self	\N	["Self - Honorary Curator"]
tt9310018	2	nm11512171	self	\N	["Self - Paleontologist"]
tt9310018	3	nm8926565	actor	\N	["Jerry Siegel"]
tt9310018	4	nm6313378	actor	\N	["Etienne Leopold Trouvelot"]
tt9310018	5	nm2427093	producer	producer	\N
tt9310018	6	nm9349550	producer	producer	\N
tt9310018	7	nm8497020	producer	producer	\N
tt9310018	8	nm9621092	self	\N	["Self - Historian"]
tt9310018	9	nm9154575	actor	\N	["Garth Andrews"]
tt9310020	1	nm1532234	self	\N	["Self - Host"]
tt9310020	2	nm1374993	self	\N	["Self"]
tt9310020	3	nm1911627	self	\N	["Self"]
tt9310020	4	nm1269532	self	\N	["Self"]
tt9310020	5	nm10271075	self	\N	["Self"]
tt9310020	6	nm0863816	self	\N	["Self"]
tt9310022	1	nm0970729	actor	\N	["Pool Man"]
tt9310022	2	nm0140546	actor	\N	["Sun Worshipper"]
