tconst	averageRating	numVotes
tt12840238	2.4	195
tt12840512	9.0	96
tt12840514	8.8	89
tt12840526	9.4	94
tt12840530	9.2	75
tt12840536	9.1	75
tt12840544	9.0	67
tt12840546	8.4	30
tt12840548	9.3	65
tt12840550	9.2	67
tt12840552	9.0	67
tt12840584	7.4	14
tt12840588	6.9	17
tt12840594	7.7	17
tt12840600	7.5	19
tt12840602	7.3	18
tt12840604	7.1	17
tt12840606	7.6	16
tt12840608	5.9	16
tt12840612	7.8	17
tt12840614	7.1	16
tt12840616	7.4	19
tt12840634	5.2	25
tt12840640	7.5	17
tt12840648	6.6	14
tt12840650	7.4	12
tt12840652	7.5	15
tt12840672	7.9	14
tt12840674	7.9	16
tt12840676	7.7	14
tt12840678	7.4	18
tt12840680	7.8	20
tt12840684	7.9	17
tt12840690	8.0	14
tt12840698	8.2	17
tt12840704	7.2	13
tt12840710	7.6	16
tt12840712	6.3	14
tt12840718	6.7	12
tt12840728	7.3	13
tt12840736	7.2	18
tt12840742	7.2	15
tt12840750	7.8	14
tt12840752	7.7	15
tt12840760	6.8	13
tt12840926	6.9	721
tt12840988	6.9	956
tt12841002	6.4	22
tt12841040	7.2	104
tt12841318	3.6	678
tt12841428	6.5	31
tt12841452	6.8	41
tt12841566	7.8	29
tt12841698	6.3	782
tt12841712	8.2	8
tt12841732	8.0	12
tt12841844	7.6	23
tt12841898	4.8	55
tt12842056	6.2	6
tt12842078	8.2	20
tt12842094	8.6	43
tt12842128	7.3	11
tt12842428	9.0	5
tt12842444	8.4	14
tt12842524	3.7	43
tt12842544	9.1	13
tt12842592	9.5	13
tt12842634	9.6	14
tt12842676	9.5	14
tt12842704	9.4	14
tt12842808	8.5	7
tt12842820	8.6	67
tt12842868	10.0	5
tt12842890	7.8	21
tt12842900	5.8	61
tt12842904	8.0	13
tt12842908	9.1	21
tt12842914	5.0	7
tt12842930	9.1	11
tt12842932	7.8	7
tt12843000	5.5	47
tt12843050	8.5	13
tt12843288	6.5	45
tt12843340	7.9	1475
tt12843342	8.0	1412
tt12843344	8.3	1381
tt12843346	8.3	1353
tt12843354	8.8	1686
tt12843358	7.1	440
tt12843406	7.4	10
tt12843410	7.4	9
tt12843432	7.4	9
tt12843438	7.3	66
